,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha_g,alpha_l
68,nem,1042.0,6.292397660818714,2022-03-22,2022-09-20,0.9387933879980476,TK+,0,-0.3256632823499493,2.3385569076029964,0.9336044443307664,0.860234283063645,0.8669815296403599,1.0388095363217593,2.0
70,ner,1016,7.1241534988713315,2020-05-10,2021-07-26,0.8698531992820022,TK+,0,0.3274974953870817,0.5444541976949655,0.7010210843050091,0.25474161803729567,1.442349253106846,0.3827308858651424,0.420837990711225
71,ner,1155,4.6,2021-09-20,2022-01-17,0.8929471670827323,TK+,0,-0.4050731947694468,1.2259273062505034,0.2099148635080384,0.2983120146869049,2.0,0.6643489392996996,0.5174579234407711
72,ner,1074.0,5.967741935483871,2022-02-04,2022-05-07,0.900394676738184,TK+,0,-1.4595420333960483,1.1457146516122487,0.25545483251591733,0.2631369749503752,2.0,0.7914334978956092,0.5389105737732165
73,ner,1132.0,4.983050847457627,2022-05-14,2022-09-11,0.9008135481716218,TK+,0,-1.403881402280263,1.3095548900304872,0.5998552698934698,0.33966685791042384,1.055598670622117,0.7875417306220128,0.34410294811236997
74,ner,1071.0,,2022-11-03,2023-08-15,0.8960803570987508,TK+,0,-1.4714435881751369,1.2008359101228177,1.1839101430108356,0.3121902715850163,0.829252143495615,0.7488693289736637,0.3617182094821813
75,oll,1269,1.0,2020-01-18,2020-02-26,0.8485810655712113,TK+,0,-0.07781996146863818,2.817046731348208,0.20495336209950554,0.5617800555183471,0.1,0.7630589327940301,0.1
76,oll,1159,4.050251256281407,2020-05-31,2020-12-15,0.9038481199774113,TK+,0,-0.8110048919708505,1.3567137059961822,2.0537870463776327,0.7088932127041306,0.4795552436737543,0.8576451655373989,0.5842712181405272
77,oll,1239.0,2.1639344262295084,2021-07-24,2021-11-22,0.9284008614554343,TK+,0,-0.5402099927319415,2.280565277836674,1.2724009145577413,0.9520798884324279,0.7035741839485793,0.8409895312945853,0.5902313847729261
78,oll,1183.0,1.702970297029703,2021-12-04,2022-03-14,0.9256531185031408,TK+,0,-0.5531528998168056,2.4813027565071994,1.1834402510192308,0.7752337260640673,0.7996961731174057,0.7663024061027255,0.5534589069045949
80,pac,1308,1.0,2020-05-02,2020-10-12,0.8869443656789372,TK+,0,0.2371151454452563,1.4847939343049905,1.130155021936202,0.7702818902641477,0.3656176937303003,2.0,0.49937294245543357
81,pac,1161,2.5671641791044775,2020-10-27,2021-05-15,0.862457765700303,TK+,0,-1.9554253284732697,1.024486066980945,2.5619895938483266,1.0051377762413842,0.5388258189110087,0.2956119944655068,0.39336015695200277
82,pac,1274.0,1.1594202898550725,2021-07-05,2021-11-19,0.8975307891370856,TK+,0,-1.2540345096811585,1.2081456536119093,2.3308342031942115,0.96072921018957,0.4841417808646616,0.4430695362167953,0.4715405327690714
83,pac,1156.0,2.702127659574468,2022-01-22,2022-03-09,0.8797428527923034,TK+,0,-0.8243841730935028,2.029236462312608,1.3250534233245914,0.6277001973115596,0.5823192952025481,0.6053928073690001,0.23904462620285966
84,pac,1145.0,,2023-02-07,2023-06-14,0.8306106870664056,!TK+,0,-4.785612453315571,10.121752860195642,5.017217220288674,0.13204976984153335,0.1,0.1,0.10031249472637294
85,pat,864,10.64406779661017,2022-07-12,2022-10-03,0.7929693904325721,TK+,0,-4.88441232685532,0.19231121581170735,5.923929773645294,1.849381627962775,0.1,1.0481517042908295,0.1
86,pat,830,,2022-11-07,2023-06-16,0.8885141216014483,TK+,0,-3.0252179797266385,0.5260387002107897,2.6799353577896063,1.2242800233726852,0.1,0.7433898144037994,0.1
90,yoh,835,11.476964769647697,2020-04-29,2021-05-02,0.8847945117071823,TK+,0,-0.3394230787765095,1.3014600159166785,1.18556889964962,0.17923199392105568,0.46464373090500066,1.1614660434977189,2.0
91,yoh,906,8.817391304347826,2022-05-17,2022-11-14,0.901489060381226,TK+,0,0.04129364233818935,1.3750908699979842,1.6739893629912312,1.0328144646856525,0.7644972493760008,0.7747490943960096,0.2531174295826495
