,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha
75,oll,1269,1.0,2020-01-18,2020-02-26,0.8357336631617321,P1,0,-0.0945418662743585,2.2950317988072495,0.2,0.7066036738644517,0.1,0.6207945799678727
76,oll,1159,4.050251256281407,2020-05-31,2020-12-15,0.9047817671796218,P1,0,-0.8242969528342136,1.3312016809396585,2.1223618524166037,0.73133249013797,0.44945459149852307,0.6464101773911333
77,oll,1239.0,2.1639344262295084,2021-07-24,2021-11-22,0.9289005191621592,P1,0,-0.5438383238394991,2.269075552208585,1.297460765520547,0.9730117559307376,0.6503266529818941,0.7210255799704424
78,oll,1183.0,1.702970297029703,2021-12-04,2022-03-14,0.9250057186608492,P1,0,-0.5638300716738506,2.434080300125141,1.259114004897174,0.7949449817106237,0.717195971027361,0.6419167192153188
80,pac,1308,1.0,2020-05-02,2020-10-12,0.881490061684272,P1,0,0.18582782400752237,1.9025062909840442,0.8684148834068899,0.6297009774858284,0.27038704770088184,0.6857825730812167
81,pac,1161,2.5671641791044775,2020-10-27,2021-05-15,0.8398256287659273,P1,0,-1.610646194800605,1.2048566327686756,2.293489080328898,0.706045005372698,0.37621193508013007,0.2756578857002749
82,pac,1274.0,1.1594202898550725,2021-07-05,2021-11-19,0.8874797557932883,P1,0,-1.2163183187479265,1.2304577841053468,2.3414382795759985,0.8493610916623089,0.3831695812627527,0.6378307228674485
83,pac,1156.0,2.702127659574468,2022-01-22,2022-03-09,0.8593636446988095,P1,0,-1.0409541553300912,1.5392376122919345,2.1627005312253447,0.6660883298693642,0.32255676933066113,0.29325581850154275
84,pac,1145.0,,2023-02-07,2023-06-14,0.8380794863125771,P1,0,-1.5970932597328469,0.8971426559290216,4.411730493666973,1.122260915874064,0.1,0.21821011205076296
85,pat,864,10.64406779661017,2022-07-12,2022-10-03,0.7778949810625422,P1,0,-5.0,0.1811668253245688,5.84739156553667,1.8304749099311586,0.1,0.1
86,pat,830,,2022-11-07,2023-06-16,0.8724314031162097,P1,0,-4.304066400484635,0.357651902920977,3.92444697829591,1.485569921755694,0.1,0.1
90,yoh,835,11.476964769647697,2020-04-29,2021-05-02,0.881324319756252,P1,0,-0.3535518870174753,1.2458503630807967,1.485595856844185,0.16422806860988207,0.34942435065046873,0.9670595909491488
91,yoh,906,8.817391304347826,2022-05-17,2022-11-14,0.8951385826654384,P1,0,0.04895969956307046,1.0887667004824477,3.1612680924642937,1.15840478851374,0.27244138935309614,0.3721754072369916
